url,title,locations,entity_address,keyword_top10,sentences,self_defined_category
http://eeooa0314.pixnet.net/blog/post/467928992,宜蘭親子玩水景點 ▶ 武荖坑風景區 ▶ 炎炎夏日消暑妙方  超清澈超沁涼溪水 全家出遊、親子戲水、野餐、烤肉好選擇!,"['宜蘭', '武荖坑風景區']","[{'location': {'lon': '121.812772', 'lat': '24.613395'}, 'address': '宜蘭縣蘇澳鎮武荖坑路75號'}]","[{'tfidf': 0.49494, 'word': '武荖坑風景區'}, {'tfidf': 0.45687, 'word': '戲水'}, {'tfidf': 0.44848, 'word': '玩水'}, {'tfidf': 0.23, 'word': '烤肉'}, {'word': '宜蘭', 'tfidf': 0.22844}, {'tfidf': 0.19036, 'word': '景點'}, {'tfidf': 0.15229, 'word': '宜蘭親子'}, {'tfidf': 0.15229, 'word': '出遊'}, {'tfidf': 0.15229, 'word': '門票'}, {'tfidf': 0.15229, 'word': '露營'}]","['武荖坑風景區', '戲水', '玩水', '烤肉', '宜蘭', '景點', '宜蘭親子', '出遊', '門票', '露營']",自然景觀
http://eeooa0314.pixnet.net/blog/post/467899943,2019台北最新親子公園 ▶ 華山大草原遊戲場 ▶ 極限滑索、煙囪遊戲塔、飛天鞦韆、水沙世界玩到翻 FUN暑假非玩不可、親子假日景點!,"['台北', '華山', '世界']","[{'location': {'lon': 121.526707, 'lat': 25.045503}, 'address': '台北市中正區北平東路30-10號'}]","[{'tfidf': 0.3711, 'word': '華山'}, {'tfidf': 0.34459, 'word': '公園'}, {'word': '大草原', 'tfidf': 0.26507}, {'word': '遊戲場', 'tfidf': 0.26507}, {'tfidf': 0.26507, 'word': '煙囪'}, {'tfidf': 0.26507, 'word': '遊戲'}, {'tfidf': 0.19071, 'word': '暑假'}, {'tfidf': 0.18555, 'word': '滑索'}, {'word': '鞦韆', 'tfidf': 0.18555}, {'tfidf': 0.15187, 'word': '水沙'}]","['華山', '公園', '大草原', '遊戲場', '煙囪', '遊戲', '暑假', '滑索', '鞦韆', '水沙']",人文藝術
http://vreranda.pixnet.net/blog/post/227769134,宜蘭景點/親子同遊/煮蛋『鳩之澤』宜蘭旅遊/泡湯/太平山森林遊樂區,"['宜蘭', '太平山森林遊樂區']","[{'location': {'lon': 121.5081831, 'lat': 24.5453779}, 'address': '宜蘭縣大同鄉燒水巷25號'}]","[{'tfidf': 0.45949, 'word': '煮蛋'}, {'tfidf': 0.21402, 'word': '沙拉'}, {'tfidf': 0.20656, 'word': '鳩之澤'}, {'word': '溫泉', 'tfidf': 0.18074}, {'word': '景點', 'tfidf': 0.15492}, {'word': '泡湯', 'tfidf': 0.1291}, {'tfidf': 0.1291, 'word': '太平山森林遊樂區'}, {'tfidf': 0.12242, 'word': '太平山'}, {'tfidf': 0.10461, 'word': '牛牛'}, {'tfidf': 0.10328, 'word': '宜蘭旅遊'}]","['煮蛋', '沙拉', '鳩之澤', '溫泉', '景點', '泡湯', '太平山森林遊樂區', '太平山', '牛牛', '宜蘭旅遊']",自然景觀
http://tadli.pixnet.net/blog/post/227821865,2019/06/22<親子露營第30露>宜蘭-武林秘密基地露營區：報告班長，小小兵集合囉~,"['宜蘭', '露營區', '報告班長']","[{'location': {'lon': 121.6838752, 'lat': 24.6192102}, 'address': '宜蘭縣大同鄉寒溪村華興巷42號'}, {'location': {'lon': 121.6958621, 'lat': 24.6164576}, 'address': '宜蘭縣大同鄉寒溪巷66號'}]","[{'tfidf': 0.18113, 'word': '活動'}, {'tfidf': 0.18113, 'word': '營區'}, {'tfidf': 0.16493, 'word': '小孩'}, {'word': '民宿', 'tfidf': 0.14088}, {'word': '開心', 'tfidf': 0.14088}, {'tfidf': 0.10131, 'word': '泡泡'}, {'word': '雨棚', 'tfidf': 0.08621}, {'tfidf': 0.0805, 'word': '任務'}, {'tfidf': 0.06038, 'word': '宜蘭'}, {'tfidf': 0.06038, 'word': '秘密基地'}]","['活動', '營區', '小孩', '民宿', '開心', '泡泡', '雨棚', '任務', '宜蘭', '秘密基地']",自然景觀
http://abby0318.pixnet.net/blog/post/467921939,【桃園景點美食】桃園龍潭一日遊~13個景點美食景觀餐廳懒人包！,"['桃園', '龍潭']","[{'location': {'lon': '121.2432972', 'lat': '24.8487915'}, 'address': '桃園市龍潭區中正路佳安段352號'}, {'location': {'lon': '121.2416906', 'lat': '24.8188707'}, 'address': '桃園市龍潭區大平里民富街89號'}, {'address': '桃園縣龍潭鄉楊銅路二段712號', 'location': {'lat': '24.8677028', 'lon': '121.1838506'}}, {'location': {'lat': 24.8658442, 'lon': 121.1866484}, 'address': '桃園縣龍潭鄉楊銅路二段588-1號'}, {'location': {'lon': '121.219404', 'lat': '24.8660299'}, 'address': '桃園市龍潭區公園路101號'}, {'address': '桃園市龍潭區西龍路43號', 'location': {'lat': '24.8646822', 'lon': '121.2112341'}}, {'location': {'lat': '24.8310354', 'lon': '121.243458'}, 'address': '桃園市龍潭區中正路三坑段580號'}, {'location': {'lon': '121.301025', 'lat': '24.993416'}, 'address': '桃園市龍潭區中正路三林段500號'}, {'location': {'lon': '121.213804', 'lat': '24.8641568'}, 'address': '桃園市龍潭區南龍路11號'}]","[{'word': 'abby', 'tfidf': 0.41703}, {'tfidf': 0.27802, 'word': '閱讀'}, {'word': '龍潭', 'tfidf': 0.25816}, {'tfidf': 0.25816, 'word': '環境'}, {'tfidf': 0.25816, 'word': '點選'}, {'word': '連結', 'tfidf': 0.25816}, {'word': '詳細', 'tfidf': 0.25816}, {'word': '電話', 'tfidf': 0.2383}, {'word': '景點', 'tfidf': 0.19858}, {'word': '營業時間', 'tfidf': 0.19858}]","['abby', '閱讀', '龍潭', '環境', '點選', '連結', '詳細', '電話', '景點', '營業時間']",其它
http://sai083.pixnet.net/blog/post/349657054,台中美食 Coffury Studio NO.71｜抽的不是煙，是寂寞。喝的不是咖啡，是人生。,['台中'],"[{'location': {'lat': '24.164559', 'lon': '120.669771'}, 'address': '台中市北區忠太西路71號'}]","[{'tfidf': 0.34652, 'word': '71'}, {'word': '推薦', 'tfidf': 0.32176}, {'tfidf': 0.29701, 'word': 'studio'}, {'tfidf': 0.24751, 'word': 'coffury'}, {'tfidf': 0.17959, 'word': '店家'}, {'word': '台中', 'tfidf': 0.14874}, {'word': '咖啡廳', 'tfidf': 0.14851}, {'tfidf': 0.13184, 'word': '美食'}, {'tfidf': 0.12237, 'word': '咖哩'}, {'word': '咖啡', 'tfidf': 0.11276}]","['71', '推薦', 'studio', 'coffury', '店家', '台中', '咖啡廳', '美食', '咖哩', '咖啡']",其它
http://mei30530.pixnet.net/blog/post/467758187,【宜蘭五結】蜜雪蓮城堡宜蘭親子民宿－全新開幕溜滑梯主題房型，戲水池|沙坑|電動車|盪鞦韆|球池～小孩專屬玩樂住宿(合作),['宜蘭'],"[{'address': '宜蘭縣五結鄉孝威南路41之11號', 'location': {'lat': 24.685865, 'lon': 121.810849}}]","[{'tfidf': 0.18679, 'word': '抽獎'}, {'tfidf': 0.15258, 'word': '住宿'}, {'tfidf': 0.14009, 'word': '空間'}, {'word': '房型', 'tfidf': 0.13715}, {'word': '四人', 'tfidf': 0.12467}, {'tfidf': 0.11675, 'word': '宜蘭'}, {'tfidf': 0.11675, 'word': '宜蘭親子民宿'}, {'tfidf': 0.11675, 'word': '溜滑梯'}, {'word': '盪鞦韆', 'tfidf': 0.11675}, {'tfidf': 0.11675, 'word': '球池'}]","['抽獎', '住宿', '空間', '房型', '四人', '宜蘭', '宜蘭親子民宿', '溜滑梯', '盪鞦韆', '球池']",其它
http://mia081937.pixnet.net/blog/post/355203821,新北市親子景點【準園休閒農場】大台北地區生態休閒農場，人工瀑布與生態池，佔地4.5公頃。豐富生態與體驗活動，手作窯烤Pizza、大戰美國螯蝦、神奇大泡泡、手作盆栽！大草皮適合野餐。,"['新北市', '準園休閒農場', '台北', '美國']","[{'location': {'lon': '121.4386099', 'lat': '25.0785306'}, 'address': '新北市五股區新五路二段70號'}]","[{'word': '生態', 'tfidf': 0.32631}, {'tfidf': 0.29664, 'word': '休閒農場'}, {'tfidf': 0.23732, 'word': '準園'}, {'tfidf': 0.20765, 'word': 'pizza'}, {'tfidf': 0.17799, 'word': '手作'}, {'word': '門票', 'tfidf': 0.14832}, {'tfidf': 0.14832, 'word': '50'}, {'word': '折抵', 'tfidf': 0.14163}, {'tfidf': 0.11866, 'word': '新北市'}, {'word': '體驗', 'tfidf': 0.11866}]","['生態', '休閒農場', '準園', 'pizza', '手作', '門票', '50', '折抵', '新北市', '體驗']",自然景觀
http://eeooa0314.pixnet.net/blog/post/467916887,宜蘭旅遊景點 ▶ 望龍埤 ▶ 漫步九曲橋、環湖步道、餵魚餵鴨子 享受翠綠湖畔的美好 宜蘭一日遊、宜蘭親子同遊好去處!,"['宜蘭', '望龍埤']","[{'location': {'lon': 121.7039898, 'lat': 24.7786255}, 'address': '宜蘭縣員山鄉枕山村坡城路18-6號'}]","[{'tfidf': 0.75903, 'word': '望龍埤'}, {'tfidf': 0.52184, 'word': '景點'}, {'tfidf': 0.2372, 'word': '宜蘭旅遊'}, {'tfidf': 0.20964, 'word': '步道'}, {'word': '九曲橋', 'tfidf': 0.18976}, {'tfidf': 0.18976, 'word': '環湖'}, {'word': '門票', 'tfidf': 0.18976}, {'tfidf': 0.14232, 'word': '宜蘭'}, {'tfidf': 0.14232, 'word': '偶像劇'}, {'word': '造訪', 'tfidf': 0.14232}]","['望龍埤', '景點', '宜蘭旅遊', '步道', '九曲橋', '環湖', '門票', '宜蘭', '偶像劇', '造訪']",自然景觀
http://may1215may.pixnet.net/blog/post/404060801,"【台中親子景點】2019大安沙雕音樂季,台中大安濱海樂園,噴水柱戲水區+遮陽兒童池免費玩","['台中', '大安']","[{'location': {'lat': '24.383141', 'lon': '120.590212'}, 'address': '台中市大安區北汕路86巷1號'}]","[{'tfidf': 0.39849, 'word': '大安濱海樂園'}, {'tfidf': 0.34156, 'word': '噴水'}, {'tfidf': 0.34156, 'word': '戲水'}, {'word': '兒童', 'tfidf': 0.34156}, {'tfidf': 0.34156, 'word': '沙雕'}, {'tfidf': 0.28464, 'word': '大安沙雕'}, {'tfidf': 0.28464, 'word': '音樂季'}, {'tfidf': 0.28464, 'word': '免費'}, {'tfidf': 0.22771, 'word': '台中親子'}, {'word': '景點', 'tfidf': 0.22771}]","['大安濱海樂園', '噴水', '戲水', '兒童', '沙雕', '大安沙雕', '音樂季', '免費', '台中親子', '景點']",人文藝術
